,folder_name,auc modified_BRM_cosine_similarity_,auc minmax norm modified_BRM_cosine_similarity_,auc std norm modified_BRM_cosine_similarity_,auc minmax std norm modified_BRM_cosine_similarity_,folder_name,auc modified_BRM_manhattan_distances_,auc minmax norm modified_BRM_manhattan_distances_,auc std norm modified_BRM_manhattan_distances_,auc minmax std norm modified_BRM_manhattan_distances_,folder_name,auc modified_BRM_euclidean_distances_,auc minmax norm modified_BRM_euclidean_distances_,auc std norm modified_BRM_euclidean_distances_,auc minmax std norm modified_BRM_euclidean_distances_,folder_name,auc GaussianMixture,auc minmax norm GaussianMixture,auc std norm GaussianMixture,auc minmax std norm GaussianMixture,folder_name,auc IsolationForest,auc minmax norm IsolationForest,auc std norm IsolationForest,auc minmax std norm IsolationForest,folder_name,auc OneClassSVM,auc minmax norm OneClassSVM,auc std norm OneClassSVM,auc minmax std norm OneClassSVM
21,vowel0,0.9330246913580248,0.9333333333333332,0.9330246913580248,0.932716049382716,vowel0,0.9993827160493828,0.9996913580246912,0.9993827160493828,0.9993827160493828,vowel0,1.0,0.9996913580246912,1.0,1.0,yeast-2_vs_4,0.9456521739130436,0.9456521739130436,0.9456521739130436,0.9456521739130436,vowel0,0.9743827160493828,0.9867283950617284,0.9570987654320988,0.9685185185185186,vowel0,0.8228395061728395,0.987037037037037,0.9888888888888888,0.9888888888888888
22,poker-8-9_vs_5,0.7585365853658537,0.7546341463414634,0.755609756097561,0.755609756097561,poker-8-9_vs_5,0.7392682926829268,0.7434146341463415,0.7190243902439024,0.7209756097560975,poker-8-9_vs_5,0.7170731707317073,0.7195121951219512,0.6960975609756097,0.7190243902439024,abalone-20_vs_8-9-10,0.8778659611992945,0.8774250440917107,0.8774250440917107,0.8774250440917107,poker-8-9_vs_5,0.5478048780487805,0.5258536585365854,0.5107317073170732,0.6234146341463415,poker-8-9_vs_5,0.5790243902439025,0.5717073170731707,0.5697560975609756,0.5697560975609756
23,winequality-red-8_vs_6,0.51171875,0.517578125,0.51171875,0.51953125,winequality-red-8_vs_6,0.818359375,0.83203125,0.830078125,0.82421875,winequality-red-8_vs_6,0.833984375,0.841796875,0.833984375,0.833984375,segment0,0.7304101622283441,0.7308310376492195,0.7304101622283441,0.7304101622283441,winequality-red-8_vs_6,0.744140625,0.69921875,0.720703125,0.740234375,winequality-red-8_vs_6,0.64453125,0.71875,0.70703125,0.70703125
24,yeast-2_vs_8,0.7338709677419355,0.7365591397849462,0.739247311827957,0.739247311827957,yeast-2_vs_8,0.6612903225806451,0.6639784946236559,0.6639784946236559,0.6639784946236559,yeast-2_vs_8,0.6693548387096774,0.6639784946236559,0.6586021505376344,0.6586021505376344,ecoli-0-4-6_vs_5,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,yeast-2_vs_8,0.5940860215053764,0.6048387096774194,0.5779569892473119,0.6155913978494624,yeast-2_vs_8,0.5779569892473119,0.5833333333333334,0.6344086021505376,0.6344086021505376
25,glass-0-1-2-3_vs_4-5-6,0.6818181818181818,0.6704545454545454,0.6732954545454545,0.6789772727272727,glass-0-1-2-3_vs_4-5-6,0.9517045454545454,0.953125,0.953125,0.953125,glass-0-1-2-3_vs_4-5-6,0.9517045454545454,0.9460227272727272,0.9460227272727272,0.9517045454545454,ecoli4,0.91796875,0.91796875,0.91796875,0.91796875,glass-0-1-2-3_vs_4-5-6,0.9403409090909092,0.9346590909090908,0.9289772727272728,0.9375,glass-0-1-2-3_vs_4-5-6,0.8892045454545454,0.9346590909090908,0.9389204545454546,0.9389204545454546
26,abalone-3_vs_11,1.0,1.0,1.0,1.0,abalone-3_vs_11,1.0,1.0,1.0,1.0,abalone-3_vs_11,1.0,1.0,1.0,1.0,yeast-1-2-8-9_vs_7,0.5579710144927537,0.5570652173913043,0.5570652173913043,0.5570652173913043,abalone-3_vs_11,1.0,1.0,1.0,1.0,abalone-3_vs_11,0.9897959183673468,1.0,1.0,1.0
27,ecoli1,0.7259615384615385,0.6911057692307692,0.7067307692307692,0.7103365384615384,ecoli1,0.7427884615384616,0.7403846153846154,0.7451923076923077,0.7439903846153846,ecoli1,0.7463942307692307,0.7536057692307693,0.7512019230769231,0.7427884615384616,abalone9-18,0.925925925925926,0.9267310789049921,0.9267310789049921,0.9267310789049921,ecoli1,0.8197115384615384,0.8353365384615384,0.8257211538461539,0.8305288461538461,ecoli1,0.7728365384615384,0.7391826923076923,0.7475961538461539,0.7475961538461539
28,abalone-17_vs_7-8-9-10,0.5714546783625731,0.5625,0.569078947368421,0.5639619883040936,abalone-17_vs_7-8-9-10,0.8466739766081871,0.8503289473684209,0.8609283625730995,0.8543494152046783,abalone-17_vs_7-8-9-10,0.8525219298245614,0.8565423976608186,0.8567251461988303,0.8616593567251463,abalone-3_vs_11,1.0,1.0,1.0,1.0,abalone-17_vs_7-8-9-10,0.7097953216374269,0.7715643274853801,0.6838450292397661,0.7492690058479532,abalone-17_vs_7-8-9-10,0.5531798245614035,0.5217470760233918,0.7085160818713451,0.7085160818713451
29,abalone19,0.5319662243667069,0.5321672698029755,0.5327704061117813,0.5361881785283474,abalone19,0.6085645355850422,0.6324889425010052,0.6250502613590672,0.6419380780056293,abalone19,0.6558102131081625,0.6421391234418978,0.6471652593486128,0.6453558504221955,abalone-19_vs_10-11-12-13,0.6163522012578616,0.6159029649595686,0.6176999101527403,0.6176999101527403,abalone19,0.6789304382790511,0.7239646160032167,0.7338158423803779,0.6501809408926418,abalone19,0.7895054282267792,0.7416566143948533,0.6813429835142742,0.6813429835142742
30,vehicle3,0.6863211865958615,0.6883354696941952,0.6863211865958616,0.6883354696941952,vehicle3,0.643288774949643,0.6478666910822194,0.6528108405054021,0.6471342245010071,vehicle3,0.665445889031313,0.6661783556125251,0.6703900384544955,0.6746017212964659,glass6,0.9684684684684686,0.9684684684684686,0.9684684684684686,0.9684684684684686,vehicle3,0.6328511261673686,0.6647134224501008,0.6473173411463102,0.6573887566379784,vehicle3,0.6178355612525179,0.5909174143929683,0.5799304156747849,0.5799304156747849
31,glass-0-1-6_vs_5,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,glass-0-1-6_vs_5,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,glass-0-1-6_vs_5,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,yeast-2_vs_8,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,glass-0-1-6_vs_5,0.8142857142857143,0.8142857142857143,0.8,0.8142857142857143,glass-0-1-6_vs_5,0.7,0.5142857142857142,0.7428571428571429,0.7428571428571429
32,yeast-0-3-5-9_vs_7-8,0.5097826086956522,0.5141304347826087,0.5152173913043478,0.5097826086956523,yeast-0-3-5-9_vs_7-8,0.6706521739130434,0.6684782608695652,0.6739130434782609,0.6652173913043478,yeast-0-3-5-9_vs_7-8,0.6771739130434782,0.6663043478260869,0.6684782608695652,0.6760869565217391,ecoli-0-6-7_vs_5,0.80625,0.80625,0.80625,0.80625,yeast-0-3-5-9_vs_7-8,0.5695652173913043,0.5717391304347826,0.5913043478260869,0.592391304347826,yeast-0-3-5-9_vs_7-8,0.6032608695652174,0.5880434782608696,0.6021739130434782,0.6021739130434782
33,yeast3,0.8968089990817264,0.8964646464646465,0.8997933884297521,0.8958907254361801,yeast3,0.7028236914600551,0.7064967860422405,0.7053489439853076,0.7022497704315886,yeast3,0.7174012855831038,0.7192378328741966,0.7165977961432507,0.7182047750229569,poker-8_vs_6,0.7226027397260274,0.7226027397260274,0.7226027397260274,0.7226027397260274,yeast3,0.6654040404040404,0.6921487603305785,0.6023875114784205,0.5782828282828283,yeast3,0.5634756657483929,0.6088154269972452,0.7005280073461891,0.7005280073461891
34,iris0,0.95,0.945,0.945,0.945,iris0,1.0,1.0,1.0,1.0,iris0,1.0,1.0,1.0,1.0,ecoli-0-1_vs_5,0.8693181818181819,0.8693181818181819,0.8693181818181819,0.8693181818181819,iris0,0.95,0.975,0.96,0.98,iris0,1.0,1.0,1.0,1.0
35,abalone-20_vs_8-9-10,0.509700176366843,0.5070546737213404,0.5123456790123457,0.5145502645502645,abalone-20_vs_8-9-10,0.8597883597883598,0.8611111111111112,0.8562610229276897,0.8549382716049383,abalone-20_vs_8-9-10,0.8580246913580247,0.8553791887125219,0.8571428571428571,0.8492063492063492,glass-0-1-2-3_vs_4-5-6,0.931818181818182,0.911931818181818,0.911931818181818,0.911931818181818,abalone-20_vs_8-9-10,0.6053791887125219,0.6710758377425043,0.6327160493827161,0.712962962962963,abalone-20_vs_8-9-10,0.5022045855379189,0.5251322751322751,0.777336860670194,0.777336860670194
